City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
71,Lebu,CL,2022-02-11 21:12:48,-37.6167,-73.65,61.45,66,0,23.96
72,Berdigestyakh,RU,2022-02-11 21:14:31,62.0989,126.6992,-34.31,100,72,2.53
73,Phayakkhaphum Phisai,TH,2022-02-11 21:14:31,15.5163,103.1937,79.41,53,76,4.47
74,Chuy,UY,2022-02-11 21:10:38,-33.6971,-53.4616,76.68,75,86,15.99
75,Ossora,RU,2022-02-11 21:14:32,59.2353,163.0719,-9.71,100,66,4.59
76,Jamestown,US,2022-02-11 21:13:51,42.097,-79.2353,48.29,29,100,24.16
77,Faanui,PF,2022-02-11 21:11:53,-16.4833,-151.75,81.34,73,37,13.49
78,Raudeberg,NO,2022-02-11 21:14:32,61.9875,5.1352,37.2,94,100,5.99
79,Atuona,PF,2022-02-11 21:14:33,-9.8,-139.0333,77.83,75,5,13.13
80,Zhigansk,RU,2022-02-11 21:14:33,66.7697,123.3711,-29.83,100,94,5.97
81,Banyo,CM,2022-02-11 21:14:33,6.75,11.8167,70.05,19,62,4.34
82,Am Timan,TD,2022-02-11 21:14:34,11.0297,20.2827,78.42,13,0,5.37
83,Irtyshskiy,RU,2022-02-11 21:14:34,58.3333,68.1333,-1.97,88,59,14.12
84,Port Alfred,ZA,2022-02-11 21:12:27,-33.5906,26.891,70.54,86,6,4.9
85,Angoche,MZ,2022-02-11 21:14:35,-16.2325,39.9086,76.69,88,100,3.38
86,Barrow,US,2022-02-11 21:12:47,71.2906,-156.7887,-27.38,68,0,5.75
87,Itarema,BR,2022-02-11 21:14:35,-2.9248,-39.9167,80.53,75,35,13.06
88,Georgetown,MY,2022-02-11 21:14:35,5.4112,100.3354,78.73,86,20,3.44
89,Urumqi,CN,2022-02-11 21:14:03,43.801,87.6005,5.95,85,100,4.47
90,Airai,TL,2022-02-11 21:14:36,-8.9266,125.4092,60.31,94,100,1.59
91,Ribeira Grande,PT,2022-02-11 21:14:36,38.5167,-28.7,59.4,72,20,5.75
92,Tura,IN,2022-02-11 21:14:40,25.5198,90.2201,53.83,68,0,2.24
93,Isangel,VU,2022-02-11 21:13:28,-19.55,169.2667,84.31,79,75,3.44
94,Arraial Do Cabo,BR,2022-02-11 21:15:37,-22.9661,-42.0278,75.06,88,75,3.44
95,Atasu,KZ,2022-02-11 21:15:37,48.6814,71.6433,18.61,92,100,15.68
96,Tiarei,PF,2022-02-11 21:15:37,-17.5333,-149.3333,84.22,75,43,16.31
97,Kattivakkam,IN,2022-02-11 21:15:38,13.2167,80.3167,79.07,78,27,10.04
98,Vardo,NO,2022-02-11 21:15:38,70.3705,31.1107,28.38,80,97,21.85
99,Te Anau,NZ,2022-02-11 21:13:06,-45.4167,167.7167,58.26,73,99,3.27
100,Okato,NZ,2022-02-11 21:15:39,-39.2,173.8833,71.91,95,100,7.18
101,Khatanga,RU,2022-02-11 21:10:42,71.9667,102.5,0.75,80,65,15.19
102,Labuhan,ID,2022-02-11 21:14:27,-6.8844,112.2051,74.77,90,100,2.75
103,Avarua,CK,2022-02-11 21:15:39,-21.2078,-159.775,82.45,74,59,12.66
104,Daru,PG,2022-02-11 21:13:14,-9.0763,143.2092,77.99,77,99,4.38
