City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
620,Muisne,EC,75.04,light rain,0.6,-80.0333,Quinta Samay
627,Namatanai,PG,83.86,light rain,-3.6667,152.4333,Seagulls Inn Namatani
634,Porto Novo,BJ,82.22,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
646,Banda Aceh,ID,85.59,overcast clouds,5.5577,95.3222,Sulthan Hotel International
653,Salinopolis,BR,78.51,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
655,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
657,Pangai,TO,84.31,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
658,Howard Springs,AU,92.98,overcast clouds,-12.497,131.047,buffalo beach hostel
659,Hua Hin,TH,88.9,scattered clouds,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
660,Emerald,AU,91.54,clear sky,-23.5333,148.1667,The Irish Village
663,Launceston,AU,87.62,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
670,Voh,NC,86.99,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
674,Ugoofaaru,MV,81.3,overcast clouds,5.6667,73.0,Ungoofaaru Inn
685,Bubaque,GW,77.94,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
691,Ambilobe,MG,78.28,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
